Nom DataTourisme,Régions DataTourisme,Classement DataTourisme,Adresse DataTourisme,Ville DataTourisme,Lat DataTourisme,Long DataTourisme,Tel DataTourisme
Appartement Al Khalij,Dakhla-Oued Eddahab,Location de vacances,"Avenue mohamed 5 Appartement Al khalij, 73000 Dakhla, Maroc",,23.69772219,-15.93112047,
Appartement Bougouffa,Dakhla-Oued Eddahab,Location de vacances,"rue abderrahim bouabaid, 73000 Dakhla, Maroc",,23.6901897,-15.9399451,
Appartement Meublé Abir Dakhla,Dakhla-Oued Eddahab,Location de vacances,,,23.6987802,-15.93192753,
Italian Style Apartments,Dakhla-Oued Eddahab,Location de vacances,"el aouda n 109, 73000 Dakhla, Maroc",,23.69992909,-15.94439681,
La Péninsule De Dakhla,Dakhla-Oued Eddahab,Location de vacances,"P1100, 73000 Dakhla, Maroc",,23.73553166,-15.91518035,
Mad Camel Villa,Dakhla-Oued Eddahab,Location de vacances,"Lotissement Al Khalij, 73000 Dakhla, Maroc",Dakhla, 23.738298,  -15.912839 ,+212 622-656521
Résidence Al Khalij,Dakhla-Oued Eddahab,Location de vacances,"Résidence al khalij, Hay alhassani, avenue el andalous , 73000 Dakhla, Maroc",,23.697151,-15.947568,
Résidence Badr,Dakhla-Oued Eddahab,Location de vacances,"شارع الولاء hay lakassam, 73000 Dakhla, Maroc",Dakhla, 23.73418999999999,  -15.9170244 ,+212 661-576825
Résidence Chérine,Dakhla-Oued Eddahab,Location de vacances,"hay aouda lot 23 hay aouda lot 23, 73000 Dakhla, Maroc",,23.69915895,-15.94397325,
Résidence Hiba,Dakhla-Oued Eddahab,Location de vacances,,,23.73635812,-15.91665759,
Résidence Hotelière Roma,Dakhla-Oued Eddahab,Location de vacances,,,23.68794994,-15.94033124,+212677804349
Résidence Lagouira,Dakhla-Oued Eddahab,Location de vacances,,,23.70813175,-15.92545228,
Résidence Les Cristaux,Dakhla-Oued Eddahab,Location de vacances,,,23.73662758,-15.91470451,
Résidence Sahel,Dakhla-Oued Eddahab,Location de vacances,"Avenue Oqba Ibn Nafiaa n°48 , Quartier Kassam 1, 73000 Dakhla, Maroc",Dakhla, 23.735018,  -15.915325 ,+212 682-095441
Résidence Tamaya,Dakhla-Oued Eddahab,Location de vacances,"Boulevard Ahmed Ben Chekroun - N 29, 73000 Dakhla, Maroc",,23.69040577,-15.93962411,
Salut Home,Dakhla-Oued Eddahab,Location de vacances,,,23.7110507,-15.92365131,+212654261605
Soul Relax,Dakhla-Oued Eddahab,Location de vacances,"Avenue Sidi Ahmed Laaroussi rue oued chiaf 1256, 73000 Dakhla, Maroc",,23.698312,-15.932928,
